1,Air Radioaktif Fukushima Bocor Lagi 6 Pekerja Terpapar - http://t.co/XJr6mia2Sq: Air Radioaktif Fukushima Boco... http://t.co/OeTAVjfpEO
1,#Fukushima - if the rods get too close to each other they can still fire up again and create a chain reaction.\x0A#ows \x0Ahttp://t.co/XoriDkM3lR
1,RT @csmonitor: Tokyo Electric says 5.8 earthquake in #Fukushima did no damage to prefecture's troubled nuclear plant: http://t.co/gM0dD9D6NY
1,New high-radiation spots found at quake-hit Fukushima plant | Yahoo! Health http://t.co/PP1BBcKRy0
1,Tour of Fukushima Daiichi Nuclear Power Plant: http://t.co/yttXEaN32c via @youtube
1,Festival planned Saturday for children from Fukushima Japan\x0A\x0AThe Fukushima Kids Welcome Festival will be held... http://t.co/Ae5h0a57G1
1,The map that is being shared on Facebook regarding radiation spreading across the Pacific from the Fukushima... http://t.co/tcxIdIHHS5
1,This petition is addresses the Single Most Important issue on the Planet right now: http://t.co/OgLKsgQsus (Fukushima &amp; the radiation leak!)
1,Extraen peligrosas barras de combustible de la accidentada central nuclear de Fukushima http://t.co/iL0pwC2NUv
1,[NZZ] Fukushima-Betreiber will wieder Atomstrom erzeugen http://t.co/3zUGiadb0r #AntiAKW
1,Disaster Spiraling Out of Control at Fukushima as Japan's Prime Minister Asks for Global Help | Alternet http://t.co/x3Zjxx8aNj
1,Ozawa Ichiro(3):\x0A such as Japanese Bureaucrat and Massmedia.\x0A\x0ASee(Japanese);\x0A1)http://t.co/Goiij1CxE2\x0A2)http://t.co/cKfRcI8Tkb\x0A\x0A#Fukushima
1,Perspectives on Chernobyl and Fukushima Health Effects: What Can Be Learned From Eastern European... http://t.co/0XXiCnRtSD #TheAtomicAge
1,Fukushima Radiation Hits US West Coast http://t.co/t06IuE71hA #Fukushima
1,"Radioactive Reality (17 December 2013) Fukushima fuel melted """"on unprecedented scale"""" http://t.co/COoMzjplUw"""
1,@fukushima_actu god help us all there will be big consequences from this
1,LIVE: World Watchers 11-27-2013 on @spreaker #current #events #fukushima #japan #news http://t.co/IFAohR1kLZ
0,The Fajr Daily is out! http://t.co/Bphbb4fYvg Stories via @fukushima_news @donate0311 @yogageneration
1,Tritium Levels Rise Further in #Fukushima Groundwater (9/12 Jiji) http://t.co/K5bGulYXYU #jishin_e #nuclear
1,Japan raises severity of radioactive leak at nuke plant - China Daily | @scoopit http://t.co/omySz3E69x
1,Welp looks like a Cali trip is outta the question ya'll should think about living/surfing there after this video http://t.co/qr62DRISZ1
1,"@GeorgeMonbiot @lucyk6992 sorry but I seem to come across a lot more worrying info on #Fukushima than """"keep calm and carry on"""" type stuff."""
1,Storage tanks at the Fukushima Daiichi nuclear power plant are leaking about 80000 gallons of contaminated water: http://t.co/ZoiSjwD3hk
0,The elite is frightened! #Coverup of protest of #ourWallstreet #fukushima shows that to #world. #people have more power than they think #UP
1,Latest leak at Japan's Fukushima plant contaminates 6 workers: TOKYO (Reuters) - Six workers at Japan's Fukushima nuclear plant were ...
1,US Sailors: Response to Fukushima Emergency Resulted in Cancer http://t.co/9z3R1SzlOu
1,.@oceanprogress addresses concerns about radioactive contamination in Pacific Ocean seafood http://t.co/NNIJVvTgl9 via @amprog
1,Japan to remove Fukushima fuel rods http://t.co/5lzMqmrZKt
1,#Fukushima: Descubren fuga de casi dos toneladas de agua contaminada http://t.co/PFSdez4yvi #Cuba
1,Now we'll take a closer look at how the radioactive leaks at #Fukushima #Japan are impacting the environment. #worldview @WBEZ
1,Denuncian por negligencia a la operadora de Fukushima: Ciudadanos japoneses presentan denunci... http://t.co/iZLMXY81Zd #Madero #Tampico
