0, MATCH REPORT : ES Tunis (#Tunisia) vs. Al Ahly (#Egypt) 1-2 (#CAFChampionsLeague Final) - http://t.co/9fMU19sW #football #soccer #africa
0, RT @Maliheh_: @monaeltahawy Female Journalist savagely  attacked in #cairo #egypt http://t.co/TIAQdv11
0, #egypt Aliens in syberia????? http://t.co/WnIKxkkE
0, Someone. RT @Nervana_1: Another question who will head the referendum committee now with 48 hours left before round 2 ? #Egypt
1, Proud to be Egyptian ...\x0A#fb #Tahrir #nov27 #Egypt
0, Per ogni sorpresina di oggi dobbiamo sempre ringraziare Tantawi per quella notte tragica in cui sciolse il parlamento per decreto. #Egypt
1, #Photography - Updates #Nov30 - Anti Muslim Brotherhood #protests all over #Egypt - #MB #Ikhwan #Morsi #19 http://t.co/HXZjlWoY
0, #egypt Fat black girl got spanked with a big cock lol http://t.co/IOd6P7nf
1, RT @ianinegypt: The scene now outside the presidential palace. #Egypt http://t.co/273V1Rbm
0, #egypt WTF!!! Is this for real?    http://t.co/APwLicAc
0, Egypt Salafists ordered off Coptic church land -- http://t.co/tnPFTAKE -- #Egypt #Salafist #Copt
1, Dec21: Translated #Egypt Clashes in Alexandria before the 2nd phase of the referendum for Egyptians http://t.co/wX3h51Gy
1, #Egypt protests against Morsi power grab are the first flower of the #ArabSpring - Shalom Cohen http://t.co/lbI2WgF7
0, @EyeOnCambodia but not #Egypt right #Obama ? not #Egypt who murders #Christians. no violation of human rights there eh ?
0, 'Abused' #Brotherhood has become the 'abuser': Psychiatrist http://t.co/mnotgVxW via @ahramonline #morsi #islamists #salafists #egypt
0, I miss summer #weather #sky #instaweather #instaweatherpro #outdoors #nature #el dokki #egypt #day #autumn # http://t.co/qGWa370z
0, Ibrahim Eissa will host #Hamdeen #Sabbahi tonight on Al Qahera wal Nas 10pm #Egypt
1, @ahmedm_ I say do what #Gaddafi did 40yrs ago. Take over state media. Then you have FULL control! #Tahrir #Egypt
0," TT @NileNewsChannel: #Greek President: """"#Israel is taking over #Egypt's #gas and #oil resources and the gov't isn't moving."""""""
0, I love #Egypt... But I hate more than 90% of Egyptians
0, #egypt islamist moron proudly presents items threatening egypt. book on christ cartridge alcohol. (pic: arabeyya) http://t.co/jXtEPCDy
